params,score,return,sharpe,fees,trades
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 4, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 20}",-2.311851141336716,0.14527196854204316,1.4527196854204316,2413.3034758800804,20
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.414390718334411,0.12039852374223847,1.2039852374223847,1479.8720305747754,15
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.414390718334411,0.12039852374223847,1.2039852374223847,1479.8720305747754,15
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.4566205721149132,0.11835657255254506,1.1835657255254506,1478.4242625797729,15
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.4566205721149132,0.11835657255254506,1.1835657255254506,1478.4242625797729,15
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.517965257193753,0.11536082803364889,1.1536082803364889,1474.9423731594948,15
"{'ma_type': 'EMA', 'fast_ma_window': 12, 'slow_ma_window': 40, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.517965257193753,0.11536082803364889,1.1536082803364889,1474.9423731594945,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 50, 'momentum_window': 15, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.05, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.591449881440337,0.11196973660719145,1.1196973660719145,1479.9935076504842,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.02, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.591449881440342,0.11196973660719123,1.1196973660719123,1479.993507650484,15
"{'ma_type': 'EMA', 'fast_ma_window': 9, 'slow_ma_window': 50, 'momentum_window': 10, 'proportional_momentum': False, 'num_stocks': 5, 'use_trailing_stop': True, 'trailing_stop_pct': 0.03, 'vol_lookback': 20, 'low_vol_threshold': 0.01, 'high_vol_threshold': 0.03, 'volume_lookback': 40, 'macro_lower': 0.95, 'macro_upper': 1.05, 'max_trades': 15}",-2.591449881440342,0.11196973660719123,1.1196973660719123,1479.993507650484,15
